"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi13g02110",1,"Vitvi13g02110","Vitvi13g02110",1.39552905673526,1.53334786029053,4.10525665007042,-1.39552905673526,0.520104774887285,4.59746352901414,"1.21064567648599e-05      .","15 x 40","13 ","Binding to a protein."
"Vitvi00g01651",2,"Vitvi00g01651","",3.44408912428797,2.14889509873917,3.43204187888484,-3.43943199825905,0.913667469515177,16.9709095095772,"0      .","13 x 40"," ",""
"Vitvi10g02090",3,"Vitvi10g02090","",3.44301909702998,2.14781037661761,3.42298935530636,-3.43836197100106,0.913625893416141,16.9662367869928,"0      .","13 x 40"," ",""
"Vitvi08g02122",4,"Vitvi08g02122","",0.843383274584409,1.10364091287048,2.79686032893477,-0.843383274584409,0.490812789210194,4.25307459751975,"3.96230831767319e-05      .","14 x 40"," ",""
"Vitvi05g00566",5,"Vitvi05g00566","",1.09663748322055,0.831145852153903,2.70819393527422,-1.09663748322055,0.580295296359229,5.37954365637414,"7.27570064418259e-07      .","15 x 40"," ",""
"Vitvi10g02094",6,"Vitvi10g02094","",1.60309300980501,1.14771735578587,2.69071158891168,-1.52412873314712,0.531714636809471,4.73992882535338,"7.33605093738987e-06      .","12 x 40"," ",""
"Vitvi00g01655",7,"Vitvi00g01655","",1.60354298913372,1.14753479155157,2.69045149148239,-1.52457871247583,0.531568778384545,4.73811637610162,"7.38321360260752e-06      .","12 x 40"," ",""
"Vitvi07g02092",8,"Vitvi07g02092","Vitvi07g02092",0.971814039600957,1.1121104952824,2.59094265483073,-0.971814039600957,0.429093050834649,3.58654257533068,"0.000348111182217226      .","12 x 40","7 ","The initial step of transcription, consisting of the assembly of the RNA polymerase preinitiation complex (PIC) at a gene promoter, as well as the formation of the first few bonds of the RNA transcript. Transcription initiation includes abortive initiation events, which occur when the first few nucleotides are repeatedly synthesized and then released, and ends when promoter clearance takes place."
"Vitvi11g01488",9,"Vitvi11g01488","Vitvi11g01488",1.38787269778669,0.910293722778936,2.27807341303853,-1.38787269778669,0.7082227520291,7.57372164492626,"1.75931047508016e-10      .","12 x 40","11 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g01969",10,"Vitvi04g01969","",1.38957317662717,0.963631639360008,2.24199479155682,-1.38957317662717,0.628656844367983,6.10307307267038,"4.87261948567408e-08      .","13 x 40"," ",""
"Vitvi15g01618",11,"Vitvi15g01618","Vitvi15g01618",3.15137229658977,0.692852331636228,1.97900058756303,-0.978734941535659,0.647768922113602,6.41941638314114,"1.46594988370552e-08      .","13 x 40","15 ","Catalysis of the transfer of a nucleotidyl group to a reactant."
"Vitvi03g01162",12,"Vitvi03g01162","Vitvi03g01162",3.05216936823691,0.953397955516339,1.96837608804672,-2.22026447475012,0.734627466442346,8.17473145801151,"1.76278991403933e-11      .","13 x 40","3 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi04g00726",13,"Vitvi04g00726","",2.35478321634459,0.702486004531963,1.94305344855742,-1.10937575114866,0.609451122287864,5.80362998497579,"1.50487450945036e-07      .","14 x 40"," ",""
"Vitvi07g01734",14,"Vitvi07g01734","Vitvi07g01734",1.84354820402699,0.924599729808418,1.93190607565668,-1.75321246396967,0.57850332417491,5.35455593063377,"7.9761085114427e-07      .","12 x 40","7 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi10g01696",15,"Vitvi10g01696","Vitvi10g01696",1.42132754596302,1.08060280734535,1.90688669006095,-1.39979648034053,0.500905482884109,4.36943357822502,"2.66570685767409e-05      .","15 x 40","10 ","Binding to a calcium ion (Ca2+)."
"Vitvi18g01643",16,"Vitvi18g01643","Vitvi18g01643",0.792115516233231,0.87085885757141,1.88067450144597,-0.792115516233231,0.517802567075264,4.5696352773871,"1.33419361509901e-05      .","12 x 40","18 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi16g01541",17,"Vitvi16g01541","",1.09194403870708,0.841239196310149,1.86929874970723,-1.09194403870708,0.646290533052169,6.39423568566999,"1.61350650618175e-08      .","13 x 40"," ",""
"Vitvi06g00547",18,"Vitvi06g00547","Vitvi06g00547",0.575063550821735,0.659053567331838,1.85094695764342,-0.575063550821735,0.56776356311041,5.20719660046692,"1.36813359419286e-06      .","12 x 40","6 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi01g00088",19,"Vitvi01g00088","Vitvi01g00088",1.41644224716455,0.717311410224834,1.7738647609707,-1.25180583542953,0.507370988010667,4.44521723475805,"2.05430534371276e-05      .","13 x 40","1 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi03g01185",20,"Vitvi03g01185","Vitvi03g01185",3.33686332465103,0.967060995198723,1.76748986918419,-2.39708533588517,0.620129583440378,5.96797870984025,"8.1146522168396e-08      .","15 x 40","3 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g01200",21,"Vitvi13g01200","Vitvi13g01200",2.067002586181,0.822247870318044,1.73178535337881,-1.34733299304723,0.735704467121629,8.2008339592295,"1.59567914437275e-11      .","13 x 40","13 ","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
